aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing,geometry,canopy_height,canopy_density,canopy_cover,aspect,SD_lidar,slope,field - lidar,aspect_cardinal,cover_type
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,5.0,,255,,0,,,1522.905029296875,-124.5728909,49.2124938,385452.085,5452268.778,POINT (385452.085 5452268.778),0,0.0,0.0,279.920166015625,283.0,7.203274726867676,-28.0,West,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,5.0,,255,,0,,,1522.905029296875,-124.5728909,49.2124938,385452.085,5452268.778,POINT (385452.085 5452268.778),0,0.0,0.0,279.920166015625,283.0,7.203274726867676,-28.0,West,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,E,5.0,,255,,0,,,1240.9310302734375,-124.5526971,49.20319333,386901.521,5451204.528,POINT (386901.521 5451204.528),0,0.0,0.0,160.8374786376953,263.0,18.029890060424805,-8.0,South,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,E,7.5,,290,,0,,,1379.675048828125,-124.5676667,49.20373299,385814.869,5451287.001,POINT (385814.869 5451287.001),0,0.0,0.0,262.139892578125,295.0,27.727449417114258,-5.0,West,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,E,7.5,,365,,0,,,1551.7230224609375,-124.5714063,49.20964315,385556.121,5451949.644,POINT (385556.121 5451949.644),5,77.80000305175781,100.0,129.69358825683594,319.0,13.869142532348633,46.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,E,7.5,,335,,0,,,1550.8570556640625,-124.5725777,49.2107934,385473.467,5452079.282,POINT (385473.467 5452079.282),0,0.0,0.0,313.542236328125,313.0,6.670919418334961,22.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,E,7.5,,255,,0,,,1333.22802734375,-124.5571025,49.1991623,386573.912,5450763.019,POINT (386573.912 5450763.019),10,72.69999694824219,83.30000305175781,358.0790710449219,271.0,17.806861877441406,-16.0,North,under canopy
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,E,7.5,no,255,,0,,In tree well hit air pockets,1333.22802734375,-124.5571025,49.1991623,386573.912,5450763.019,POINT (386573.912 5450763.019),10,72.69999694824219,83.30000305175781,358.0790710449219,271.0,17.806861877441406,-16.0,North,under canopy
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,E,7.5,,255,,0,,,1246.8330078125,-124.5537771,49.20333944,386825.685,5451222.384,POINT (386825.685 5451222.384),14,100.0,100.0,289.03985595703125,238.0,21.179018020629883,17.0,West,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,7.5,,245,,0,,,1523.1611328125,-124.5728909,49.2124938,385454.585,5452268.778,POINT (385454.585 5452268.778),0,0.0,0.0,329.0188293457031,255.0,9.37336254119873,-10.0,Northwest,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,7.5,,245,,0,,,1523.1611328125,-124.5728909,49.2124938,385454.585,5452268.778,POINT (385454.585 5452268.778),0,0.0,0.0,329.0188293457031,255.0,9.37336254119873,-10.0,Northwest,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,E,7.5,,295,,0,,,1240.6910400390625,-124.5526971,49.20319333,386904.021,5451204.528,POINT (386904.021 5451204.528),0,0.0,0.0,163.46080017089844,293.0,18.281349182128906,2.0,South,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,E,10.0,,252,,0,,,1381.276123046875,-124.5676667,49.20373299,385817.369,5451287.001,POINT (385817.369 5451287.001),0,0.0,0.0,249.26385498046875,250.0,22.861082077026367,2.0,West,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,E,10.0,no,380,342.0,0,1760.0,,1551.234130859375,-124.5714063,49.20964315,385558.621,5451949.644,POINT (385558.621 5451949.644),3,33.29999923706055,40.0,140.0224609375,345.0,14.654546737670898,35.0,Southeast,sparse trees
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,E,10.0,,330,,0,,,1551.0430908203125,-124.5725777,49.2107934,385475.967,5452079.282,POINT (385475.967 5452079.282),0,0.0,0.0,312.4106140136719,300.0,3.36685848236084,30.0,Northwest,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,E,10.0,no,278,230.0,0,1080.0,,1247.60302734375,-124.5537771,49.20333944,386828.185,5451222.384,POINT (386828.185 5451222.384),5,20.0,25.0,26.17963218688965,226.0,3.891695976257324,52.0,Northeast,sparse trees
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,E,10.0,no,285,270.0,0,1140.0,,1240.592041015625,-124.5526971,49.20319333,386906.521,5451204.528,POINT (386906.521 5451204.528),1,9.100000381469727,20.0,168.53367614746094,283.0,19.671308517456055,2.0,South,sparse trees
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,E,10.0,yes,245,235.0,0,1320.0,,1523.2930908203125,-124.5728909,49.2124938,385457.085,5452268.778,POINT (385457.085 5452268.778),0,0.0,0.0,3.492481231689453,236.0,11.117100715637207,9.0,North,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,N,5.0,,220,,0,,,1377.6630859375,-124.5676667,49.20373299,385807.369,5451292.001,POINT (385807.369 5451292.001),0,0.0,0.0,260.54998779296875,321.0,26.108537673950195,-101.0,West,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,5.0,,325,,0,,,1554.0560302734375,-124.5714063,49.20964315,385548.621,5451954.644,POINT (385548.621 5451954.644),3,42.900001525878906,50.0,146.30885314941406,305.0,14.861382484436035,20.0,Southeast,sparse trees
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,5.0,,415,,0,,,1549.131103515625,-124.5725777,49.2107934,385465.967,5452084.282,POINT (385465.967 5452084.282),0,0.0,0.0,169.44895935058594,410.0,2.8033254146575928,5.0,South,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,5.0,,325,,0,,,1332.3970947265625,-124.5571025,49.1991623,386566.412,5450768.019,POINT (386566.412 5450768.019),10,75.0,100.0,65.52410125732422,287.0,8.813523292541504,38.0,Northeast,under canopy
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,5.0,,220,,0,,,1243.97705078125,-124.5537771,49.20333944,386818.185,5451227.384,POINT (386818.185 5451227.384),13,93.0999984741211,100.0,274.4927978515625,234.0,14.987146377563477,-14.0,West,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,5.0,,275,,0,,,1522.0030517578125,-124.5728909,49.2124938,385447.085,5452273.778,POINT (385447.085 5452273.778),0,0.0,0.0,312.2884216308594,269.0,30.809326171875,6.0,Northwest,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,5.0,,275,,0,,,1522.0030517578125,-124.5728909,49.2124938,385447.085,5452273.778,POINT (385447.085 5452273.778),0,0.0,0.0,312.2884216308594,269.0,30.809326171875,6.0,Northwest,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,5.0,,320,,0,,,1242.5211181640625,-124.5526971,49.20319333,386896.521,5451209.528,POINT (386896.521 5451209.528),0,0.0,0.0,173.11639404296875,305.0,6.686676502227783,15.0,South,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,N,7.5,,246,,0,,,1378.049072265625,-124.5676667,49.20373299,385807.369,5451294.501,POINT (385807.369 5451294.501),0,0.0,0.0,252.8393096923828,322.0,25.27670669555664,-76.0,West,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,7.5,,320,,0,,,1554.68310546875,-124.5714063,49.20964315,385548.621,5451957.144,POINT (385548.621 5451957.144),5,77.80000305175781,100.0,150.2926025390625,245.0,14.348359107971191,75.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,7.5,,410,,0,,,1549.234130859375,-124.5725777,49.2107934,385465.967,5452086.782,POINT (385465.967 5452086.782),0,0.0,0.0,166.6259307861328,324.0,8.711958885192871,86.0,South,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,7.5,,260,,0,,,1332.1070556640625,-124.5571025,49.1991623,386566.412,5450770.519,POINT (386566.412 5450770.519),10,50.0,60.0,26.7482852935791,287.0,9.446706771850586,-27.0,Northeast,under canopy
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,7.5,,220,,0,,,1243.8790283203125,-124.5537771,49.20333944,386818.185,5451229.884,POINT (386818.185 5451229.884),16,90.30000305175781,100.0,269.2610778808594,217.0,21.94476318359375,3.0,West,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,7.5,,277,,0,,,1521.47607421875,-124.5728909,49.2124938,385447.085,5452276.278,POINT (385447.085 5452276.278),0,0.0,0.0,337.86810302734375,244.0,18.021800994873047,33.0,North,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,7.5,,277,,0,,,1521.47607421875,-124.5728909,49.2124938,385447.085,5452276.278,POINT (385447.085 5452276.278),0,0.0,0.0,337.86810302734375,244.0,18.021800994873047,33.0,North,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,7.5,,320,,0,,,1242.737060546875,-124.5526971,49.20319333,386896.521,5451212.028,POINT (386896.521 5451212.028),0,0.0,0.0,158.68045043945312,326.0,12.27993392944336,-6.0,South,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,N,10.0,,270,,0,,,1377.822021484375,-124.5676667,49.20373299,385807.369,5451297.001,POINT (385807.369 5451297.001),0,0.0,0.0,267.365478515625,368.0,25.369674682617188,-98.0,West,open
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,10.0,,230,,0,,,1550.3040771484375,-124.5725777,49.2107934,385465.967,5452089.282,POINT (385465.967 5452089.282),2,71.4000015258789,83.30000305175781,146.24537658691406,164.0,23.031179428100586,66.0,Southeast,under canopy
