aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,5,,325,,0,,,1553.939941,-124.5714063,49.20964315,385548.621,5451954.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,5,,415,,0,,,1549.130005,-124.5725777,49.2107934,385465.967,5452084.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,5,,325,,0,,,1332.170044,-124.5571025,49.1991623,386566.412,5450768.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,5,,220,,0,,,1243.75,-124.5537771,49.20333944,386818.185,5451227.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,5,,275,,0,,,1522.069946,-124.5728909,49.2124938,385447.085,5452273.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,5,,275,,0,,,1522.069946,-124.5728909,49.2124938,385447.085,5452273.778
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,5,,320,,0,,,1242.48999,-124.5526971,49.20319333,386896.521,5451209.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,N,7.5,,246,,0,,,1377.579956,-124.5676667,49.20373299,385807.369,5451294.501
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,7.5,,320,,0,,,1554.670044,-124.5714063,49.20964315,385548.621,5451957.144
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,7.5,,410,,0,,,1549.290039,-124.5725777,49.2107934,385465.967,5452086.782
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,7.5,,260,,0,,,1332.170044,-124.5571025,49.1991623,386566.412,5450770.519
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,7.5,,220,,0,,,1243.540039,-124.5537771,49.20333944,386818.185,5451229.884
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,7.5,,277,,0,,,1521.140015,-124.5728909,49.2124938,385447.085,5452276.278
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,7.5,,277,,0,,,1521.140015,-124.5728909,49.2124938,385447.085,5452276.278
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,7.5,,320,,0,,,1243.030029,-124.5526971,49.20319333,386896.521,5451212.028
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,N,10,,270,,0,,,1377.290039,-124.5676667,49.20373299,385807.369,5451297.001
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,10,,230,,0,,,1550.349976,-124.5725777,49.2107934,385465.967,5452089.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,10,no,275,,0,,,1331.939941,-124.5571025,49.1991623,386566.412,5450773.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,10,no,170,135,0,660,,1243.540039,-124.5537771,49.20333944,386818.185,5451232.384
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,10,no,307,290,0,1240,Lost some and couldnít get all the way to the bottom.,1243.030029,-124.5526971,49.20319333,386896.521,5451214.528
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,10,yes,310,240,0,1160,,1555.329956,-124.5714063,49.20964315,385548.621,5451959.644
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,10,yes,310,240,0,1160,Multipart core final depth,1555.329956,-124.5714063,49.20964315,385548.621,5451959.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,10,yes,220,200,0,1340,Not to ground very dense 10 cm unaccounted for. Note in massive tree well,1550.349976,-124.5725777,49.2107934,385465.967,5452089.282
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,10,yes,281,310,0,1730,,1519.650024,-124.5728909,49.2124938,385447.085,5452278.778
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,2.5,,220,,0,,,1376.199951,-124.5676667,49.20373299,385807.369,5451284.501
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,2.5,,360,,0,,,1552.52002,-124.5714063,49.20964315,385548.621,5451947.144
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,2.5,,380,,0,,,1549.469971,-124.5725777,49.2107934,385465.967,5452076.782
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,2.5,,315,,0,,,1332.829956,-124.5571025,49.1991623,386566.412,5450760.519
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,2.5,,230,,0,,,1244.869995,-124.5537771,49.20333944,386818.185,5451219.884
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,2.5,,320,,0,,,1523.130005,-124.5728909,49.2124938,385447.085,5452266.278
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,2.5,,320,,0,,,1523.130005,-124.5728909,49.2124938,385447.085,5452266.278
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,2.5,,220,,0,,,1242.300049,-124.5526971,49.20319333,386896.521,5451202.028
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,5,,254,,0,,In trees,1376.069946,-124.5676667,49.20373299,385807.369,5451282.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,5,,370,,0,,,1551.910034,-124.5714063,49.20964315,385548.621,5451944.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,5,,355,,0,,,1550.25,-124.5725777,49.2107934,385465.967,5452074.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,5,,300,,0,,,1333.550049,-124.5571025,49.1991623,386566.412,5450758.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,5,,230,,0,,,1246.01001,-124.5537771,49.20333944,386818.185,5451217.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,5,,330,,0,,,1523.880005,-124.5728909,49.2124938,385447.085,5452263.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,5,,330,,0,,,1523.880005,-124.5728909,49.2124938,385447.085,5452263.778
